growth,inclusion_mad,emission,security_risk,is_compromise
55853.78535239621,91.27376836033257,10173.153340109135,-1951.7357027992784,False
57290.276375979745,333.0433429663878,3431.4584284707134,-9392.176729703087,False
46712.67319338379,165.21388148977016,986.3770755094267,-7284.464044739413,False
53553.40230706461,256.48981520311963,1120.3983818003114,-9612.514173499767,False
59881.20323024019,963.862950393839,3864.386071146902,-7342.413057333115,False
51031.39522887656,483.26459854646856,895.3613372649802,-9006.837183990716,False
48902.77357276564,300.3339109448307,1066.9348728452924,-8404.65570466033,False
56320.72393037622,889.8449647155079,558.3531616335994,-11243.392394198452,False
52329.90602542902,590.8004700070948,562.1972790507401,-10129.345435948324,False
52191.39897150325,423.6477372092683,1056.599112195799,-9272.24019810725,False
60269.37316278911,1390.615306915034,3302.0058677316197,-8186.2729903820145,False
54238.418159869274,90.12051997250653,8714.930171424512,-2718.5185169206643,False
60737.538615892714,1097.5643445098276,4078.2702128946357,-7079.180549757571,False
58389.62069925817,562.4724200749114,3644.64737703388,-8526.572664555386,False
57396.374872557375,316.4437303665891,3760.0695449602576,-8248.39502267328,False
59364.132300501595,1285.7071952953588,2910.465129584189,-8734.563437048519,False
52648.200822558385,549.6186583890876,544.5995561666588,-10128.669480095781,False
57045.9500175874,1317.3050513069545,308.43097224171515,-11049.935779071151,False
57733.40244961958,493.288586193786,2820.332188903468,-8366.84352375727,False
59625.02893965425,1825.0186941365034,2169.846463301653,-9222.92948688312,False
56702.10771627739,1142.2987097808225,511.54263422695885,-10698.710684216267,False
48272.87058111852,179.68180576131363,1356.9960040788887,-8127.4632318680915,False
55591.35386774984,196.57746113130375,3714.870299534681,-8754.033303981092,False
60941.60689388652,1014.9526103602237,4353.655901710031,-7285.772254824837,False
53602.922142500436,280.67298295395494,1656.6135476365857,-9083.590923063068,False
59181.60391012889,719.966415240941,4028.6342500058986,-6526.450894275546,False
57856.56868824114,520.3173478681024,3441.381630947503,-8537.548288542615,False
56934.79932346909,492.75610960171826,2089.5144559191344,-9604.294837154162,False
53789.81958177676,641.328978391255,1211.160454454046,-9776.275399784197,False
49885.31833333183,158.52432417205623,1511.6730712865901,-7829.954142056345,False
58884.46429988,1499.1405200338122,1394.537635555906,-10960.449745981263,False
60238.054175611,742.247802164345,4515.928354314655,-6404.749291430233,False
49761.717824018706,216.76346206665798,956.2840024949201,-8156.58824386277,False
49262.781462622035,420.26199472721584,959.1362417860732,-9011.877069726508,False
58145.24277314806,537.3364278618025,2478.892981349717,-9660.601647074027,True
60248.597993880714,645.4420852233284,5226.9636318604435,-5704.246061375001,False
59015.648976595134,908.2022507445836,2981.129443744752,-8894.765195148077,False
59981.92015292401,714.2564900932821,5179.879352566514,-5606.092704973311,False
58099.834454435855,1219.8512802861112,316.41180704428456,-10826.718855997728,False
60289.55969366081,219.44801490898317,5031.648220888285,-5571.39940238421,False
49216.64252582864,440.2511982540694,896.8030795984996,-8472.432769390185,False
47891.47508367823,142.13281369934762,1281.110382154673,-7691.186803181066,False
57971.92213715713,642.9444398555553,2356.7242963965327,-10352.30174826069,False
57260.02079680349,1126.7714382275153,1025.4801671666476,-10217.644562025105,False
58332.74874415241,726.938195529379,2625.291506428604,-10733.114395613386,False
58542.78168574755,1069.160060155952,2759.7191072484934,-8826.89518286919,False
59742.09106302207,757.6190392160757,4288.0131663145185,-6370.998800586291,False
59048.98913286189,1449.857539350073,1261.596077492647,-10872.567286260855,False
57807.60031529343,1158.394877274495,846.3440752734889,-10502.984490851337,False
59840.67018110835,1348.0803444579421,3161.8584472081484,-8993.420990635277,False
58918.80199731874,697.274604129975,3096.828538237993,-8026.20703550411,False
54868.06491331845,165.80970883952764,3763.923288745202,-8661.402612861926,False
60125.61926259633,733.3803054790533,4408.622625918543,-6533.105652395658,False
48041.82085359027,138.34426950552356,1320.2411049525836,-7699.159165467146,False
58701.37617858828,1183.636836695034,649.3780320152599,-11395.330481672812,False
57177.23786484002,1350.985544291207,409.116547663504,-11188.191080833883,False
59081.6607363049,1165.208671543258,1576.1478206125664,-11101.20522742582,False
57736.43872512106,926.5899685611898,1204.0920244529352,-10311.4725586225,False
54639.95142509768,114.92198897003875,7442.122285998325,-3949.58850150997,False
55337.30933450979,964.4784811555987,534.3768418121882,-10979.763972573723,False
58724.59644349714,1171.0077616018957,785.2498138458398,-11356.846919962536,False
55802.489381902415,792.677026555135,397.0979416020304,-10676.117159345667,False
56386.52474303185,1095.3503016430302,1020.6772707193489,-10918.901665866804,False
